[[FileID]],[[LineID]],[[Character]],[[English]],[[Japanese]],[[MTrans]],[[メモ]],[[管理要メモ]],[[Sequence]]
Adler_ConversationC,ALEX_0006,ALEX(女),"Okay, wh-- you’re here, whatever.",,さて、あなたはここにいるwh--、何でも。,,,23
Adler_ConversationC,ALEX_0007,ALEX(女),"Everyone, just… keep your distance.",,誰もが、ちょうど...あなたの距離を保ちます。,,,24
Adler_ConversationC,NONA_0003,NONA,What?,,何？,,,25
Adler_ConversationC,REN_0003,REN(男),Why? It’s Clarissa.,,どうして？それはクラリッサです。,,,26
Adler_ConversationC,CLARISSA_0011,CLARISSA,"Yes, dear.",,はい、親愛なります。,,,27
Adler_ConversationC,CLARISSA_0012,CLARISSA,Why.,,なぜ。,,,28
Adler_ConversationC,CLARISSA_0013,CLARISSA,I’m as harmless as a junebug.,,私はjunebugのように無害です。,,,29
Adler_ConversationC,ALEX_0008,ALEX(女),"Why? Because you're an absolute psycho, that's why!",,どうして？あなたは絶対的な心理だので、それが理由です！,,,30
Adler_ConversationC,ALEX_0009,ALEX(女),"She up and launched into a full on attack on me back in town, you should’ve seen the pyrotechnics.",,彼女アップや背中町の、あなたが花火を見てきたはずです、私への攻撃で完全に立ち上げました。,,,31
Adler_ConversationC,CLARISSA_0014,CLARISSA,Oh please. Look... some <i>things</i> were said.,,ああしてください。いくつかの<私>のものは</ i>は言った...見て。,,,32
Adler_ConversationC,CLARISSA_0015,CLARISSA,It wasn’t even worth a diary entry.,,それも、日記の価値がありませんでした。,,,33
Adler_ConversationC,CLARISSA_0016,CLARISSA,This is all Alex’s usual much ado about nothing.,,これは、すべてのアレックスの空騒ぎが普通です。,,,34
Adler_ConversationC,ALEX_0010,ALEX(女),"Jonas, c’mon, you were there, back me up here!",,ジョナスは、勘弁してくれよ、あなたはそこに、私をここにバックアップしました！,,,35
Adler_ConversationC,JONAS_0005,JONAS(男),"Yeah, she... kind of lost it, to, uh, tell you the truth.",,うん、彼女は...一種の、ええと、あなたに真実を伝えるために、それを失いました。,,,36
Adler_ConversationC,CLARISSA_0017,CLARISSA,"“Lost it?!” What are you-- you have no idea what you’re talking about, boy, you haven’t seen me “lose it,” not even close.",,少年、あなたは何を言ってるのか見当がつかないyou--どのようなものがあり、「それは？！ロスト」、あなたは私にも近接していない「それを失う」見ていません。,,,37
Adler_ConversationC,ALEX_0011,ALEX(女),"Oh, give me a break! “Some things were said?”",,ああ、私は休憩を与えます！ 「いくつかのものを言ったのですか？」,,,38
Adler_ConversationC,ALEX_0012,ALEX(女),She brought up-- she was bringing up horrible stuff for-- for no reason.,,彼女は理由もなくfor--恐ろしいものを育てたup--をもたらしました。,,,39
Adler_ConversationC,ALEX_0013,ALEX(女),"Fine, whatever, I don’t care, just-- whatever.",,ファイン、私は気にしないものは何でも、何でもjust--。,,,40
Adler_ConversationC,ALEX_0014,ALEX(女),"Cause you could be a ghost right now, that’s why!",,あなたが今幽霊である可能性が原因、それが理由です！,,,41
Adler_ConversationC,ALEX_0015,ALEX(女),"Christ, I think you’ve been possessed more than you’ve been you at this point!",,キリスト、私はあなたがこの時点で、あなたのしてきた以上のものを持ってきたと思います！,,,42
Adler_ConversationC,REN_0004,REN(男),"Well, wait-- wait a minute, don’t we, like, get red eyes or something when we get possessed…?",,さて、私たちが所有し得るとき、私たちは、のような、赤い目か何かを得ることはありません、ちょっと待ってwait-- ...？,,,43
Adler_ConversationC,NONA_0004,NONA,Yeah…,,うん...,,,44
Adler_ConversationC,CLARISSA_0018,CLARISSA,"Yes, we do, we get red eyes, thank you, Reginald.",,はい、私たちはやる、私たちは、赤い目を取得し、レジナルドをありがとうございました。,,,45
Adler_ConversationC,ALEX_0016,ALEX(女),"That hardly matters! M-- maybe it’s a-- a trick, maybe she’s working with them, who knows!",,それはほとんど問題にしません！ M--は、多分それは誰もが知っている、多分彼女は彼らと働いて、トリックA--です！,,,46
Adler_ConversationC,CLARISSA_0019,CLARISSA,“Working with them?!” Will you listen to this girl? A heat stroke makes more sense!,,「彼らと仕事を！」あなたはこの少女に耳を傾けるだろうか？熱中症は、より理にかなっています！,,,47
Adler_ConversationC,ALEX_0017,ALEX(女),"We don’t exactly know the rules, guys, something-- something could have changed, might’ve switched, or--",,私たちは、正確に知らないルール、みんな、something--何かが変更されている可能性があり、切り替えたかもしれません、or--,,,48
Adler_ConversationC,CLARISSA_0020,CLARISSA,"Rules? What are you-- this isn’t soccer, I’m not on the orange team. Nobody’s possessed right now!",,ルール？ you--これは私がオレンジ色のチームにはないんだけど、サッカーは何をしているではありません。誰もが今持っていないです！,,,49
Adler_ConversationC,ALEX_0018,ALEX(女),Maybe. I guess. I guess it’s fine.,,多分。私は推測する。私はそれは罰金だと思います。,,,50
Adler_ConversationC,CLARISSA_0021,CLARISSA,"Oh, I appreciate your ringing endorsement.",,ああ、私はあなたのリンギングの支持を感謝しています。,,,51
Adler_ConversationC,ALEX_0019,ALEX(女),"Something’s-- something’s wrong with you. I don’t know what, but-- but I dunno, it’s like you’re just not on our side.",,Something's--何かが間違っています。あなたが私たちの側にだけじゃないみたいだ、私は何を知らない、but--が、私は知りません。,,,52
Adler_ConversationC,CLARISSA_0022,CLARISSA,"“Not on your side?” What, I-- I yell at you a little bit and suddenly I’m a Russian spy now!",,「ないあなたの側に？」何を、I--私はあなたに少し叫ぶと、突然私は今、ロシアのスパイです！,,,53
Adler_ConversationC,CLARISSA_0023,CLARISSA,"Stuff happened, it happens, it’s fine.",,スタッフが起こった、それが起こる、それは大丈夫です。,,,54
Adler_ConversationC,CLARISSA_0024,CLARISSA,It’s barely worth mentioning now.,,それは今言及ほとんど価値があります。,,,55
Adler_ConversationC,ALEX_0020,ALEX(女),"It was more than just “yelling,” okay? You were dropping atom bombs of rage on my head.",,それはちょうど「叫んで、」大丈夫以上でしたか？あなたは私の頭の上に怒りの原子爆弾を落としました。,,,56
Adler_ConversationC,CLARISSA_0025,CLARISSA,"Honey, you would know if I was truly upset, okay?",,私は大丈夫、本当に怒っていた場合ハニーは、あなたが知っているだろうか？,,,57
Adler_ConversationC,CLARISSA_0026,CLARISSA,Ask Nona. Scott Fischer has a limp for a reason.,,ノナ確認して下さい。スコット・フィッシャーが理由でぐったりしています。,,,58
Adler_ConversationC,ALEX_0021,ALEX(女),"Fine, whatever, I don’t care anymore.",,ファイン、何でも、私はもう気にしません。,,,59
Adler_ConversationC,CLARISSA_0027,CLARISSA,"Oh, <i>now</i> she doesn’t care.",,ああ、<i>は今</ i>は、彼女は気にしません。,,,60
Adler_ConversationC,JONAS_0007,JONAS(男),"Um, june bugs bite, don’t they?",,あの、6月のバグは、彼らは、ありませんかむ？,,,61
Adler_ConversationC,JONAS_0008,JONAS(男),"Are you okay, Clarissa?",,あなたは、大丈夫クラリッサはありますか？,,,62
Adler_ConversationC,CLARISSA_0028,CLARISSA,"I feel like I’ve aged ten years but... for the time being, let’s go with “fine.” You look spritely as ever.",,私は時間があるために、のは、一緒に行きましょう私は10歳以上てきたような気がしますが...「罰金」あなたが今まで通りspritely見えます。,,,63
Adler_ConversationC,JONAS_0009,JONAS(男),Um... what is that supposed to mean?,,うーん...意味することになっていることは何ですか？,,,64
Adler_ConversationC,NONA_0005,NONA,"Look, Clarissa’s here, so everybody’s here now, we can just... everyone’s okay, alright?",,誰もが今ここですのでクラリッサは、ここだ、見て、私たちは...みんなは大丈夫、大丈夫ですか？,,,65
Adler_ConversationC,NONA_0006,NONA,That’s a good thing.,,それは良いことです。,,,66
Adler_ConversationC,REN_0005,REN(男),"Yeah, let’s just-- find the keys to the boat, or a phone, or whatever and just find a way home.",,うん、ボートのキー、または電話、または何でも見つけ、ちょうど家の道を見つけるjust--てみましょう。,,,67
Adler_ConversationC,REN_0007,REN(男),I promise we can all keep talking and/or fighting at school on Monday.,,私たちは、すべての話および/または月曜日に学校で戦い続けることができます約束します。,,,68
Adler_ConversationC,NONA_0007,NONA,"Yes, perfect.",,はい、完璧。,,,69
Adler_ConversationC,CLARISSA_0029,CLARISSA,"Yeah, something could be “wrong” with me, right?",,うん、何かが私と一緒に「間違っている」可能性があり、右？,,,70
Adler_ConversationC,ALEX_0022,ALEX(女),"I don’t care what she says, just everyone keep your eye on her.",,私はちょうど、誰も彼女にあなたの目を離さない、彼女の言うことを気にしません。,,,71
Adler_ConversationC,CLARISSA_0030,CLARISSA,"Yeah, I could just ""ghost out"" at any moment, right?",,ええ、私は右、任意の瞬間にだけ「ゴーストアウト」だろうか？,,,72
Adler_ConversationC,CLARISSA_0031,CLARISSA,"Yeah, I’m an “absolute psycho,” right? Everyone better hide all the knives.",,ええ、私は「絶対的なサイコ、」右ですか？誰もがより良い、すべてのナイフを非表示にします。,,,73
Adler_ConversationC,CLARISSA_0032,CLARISSA,"Yeah, I just might climb through the kitchen window again, who knows.",,ええ、私は知っている、再び台所の窓から登ることがあります。,,,74
Adler_ConversationC,CLARISSA_0033,CLARISSA,"Yeah, if you’re all not careful I might put my feet on the upholstery.",,うん、あなたはすべて注意しないなら、私は室内装飾に足を入れるかもしれません。,,,75
Adler_ConversationC,REN_0008,REN(男),"Okay, we get it, haha, carry on.",,さて、私たちは、ハハ、それを得るに運びます。,,,76
Adler_ConversationC,ALEX_0023,ALEX(女),"Clarissa, you just better hope there’s two boats or something cause you’re not sitting anywhere close to me.",,クラリッサは、あなただけのより良い2隻のボートやあなたがどこか近くに座っていない原因が何かがあります願っています。,,,77
Adler_ConversationC,CLARISSA_0034,CLARISSA,You better hope there’s two boats for your giant ego if you think you can dictate the evacuation terms.,,あなたが避難用語を指示することができると思う場合は、より良いあなたの巨大なエゴのための2つのボートがあります願っています。,,,78
Adler_ConversationC,REN_0009,REN(男),"Okay, haha, enough jousting and reposting, let’s carry on, now.",,さて、ハハ、十分に馬上槍試合と再ポスト、今度は、上の運びましょう。,,,79
Adler_ConversationC,ALEX_0024,ALEX(女),"Fine, okay, let’s focus up.",,ファイン、大丈夫、のアップ注目しましょう。,,,80
Adler_ConversationC,REN_0010,REN(男),"Everybody, find something and hope that it helps.",,誰もが、何かを見つけると、それが役立つことを願っています。,,,81
Adler_ConversationC,REN_0011,REN(男),I thought you hated physical activity.,,私はあなたが身体活動を嫌って思いました。,,,82
Adler_ConversationC,ALEX_0025,ALEX(女),"Ren, come on, you were there, back me up here!",,レンは、是非、あなたがそこにあったが、ここで私をバックアップ！,,,83
Adler_ConversationC,REN_0012,REN(男),"Well… I mean, there’s a scale to these things, and while, yes, Clarissa perhaps tipped into derangement...",,うーん...私は意味し、これらのものにスケールがあります、しばらく、はい、クラリッサは、おそらく混乱に傾け...,,,84
Adler_ConversationC,CLARISSA_0035,CLARISSA,“Derangement!?”,,「障！？」,,,85
Adler_ConversationC,CLARISSA_0036,CLARISSA,"What are you-- you have no idea what you’re talking about, boy, you haven’t seen me “lose it,” not even close.",,少年、あなたは何を言ってるのか見当がつかないyou--何ですか、あなたは私がいなくても近い「それを失う」見ていません。,,,86
Adler_ConversationC,ALEX_0026,ALEX(女),"Nona, c’mon, you saw how she acted, back me up here!",,ノナは、勘弁してくれよ、あなたは彼女が私をここにバックアップし、行動した方法を説明しました！,,,87
Adler_ConversationC,NONA_0008,NONA,"Well, Alex, I mean… yeah, she got a little heated, but--",,さて、アレックスは、私は意味...ええ、彼女は少し加熱され、but--を得ました,,,88
Adler_ConversationC,CLARISSA_0037,CLARISSA,"See? Just a little heated, like a little cup of tea, that’s all it was.",,見る？加熱されたほんの少しは、お茶の小さなカップのように、それはそれがすべてだったのです。,,,89
Adler_ConversationD1-2,ALEX_0001,ALEX(女),It’s a lot of radios and… those containers we saw at the town office.,,これは、無線と...私たちは町役場で見たこれらのコンテナがたくさんあります。,,,1
Adler_ConversationD1-2,JONAS_0001,JONAS(男),What do you think that means?,,あなたはそれが何を意味するのかと思いますか？,,,2
Adler_ConversationD1-2,ALEX_0002,ALEX(女),"She must have figured it out, that there were ghosts here and the potential for them to be running amok.",,彼女はここに幽霊やそれらをアモックするための可能性があったこと、それを考え出している必要があります。,,,3
Adler_ConversationD1-2,JONAS_0004,JONAS(男),I guess that’s a possibility.,,私はそれが可能だと思います。,,,4
Adler_ConversationD1-2,ALEX_0003,ALEX(女),"I don’t know, something about ELF transmitters or... the submarine’s ways of communicating…",,私は、ELF送信機や...通信の潜水艦の方法について何かを知りません...,,,5
Adler_ConversationD1-2,JONAS_0005,JONAS(男),"You can just say you don’t know, that’s okay.",,あなただけのそれは大丈夫です、あなたが知っていないと言うことができます。,,,6
Adler_ConversationD1-2,ALEX_0004,ALEX(女),"“Tune into the source…” It’s probably something about the special radios, you know?",,「ソースにチューン...」それはあなたが知っている、おそらく特別なラジオについて何かですか？,,,7
Adler_ConversationD1-2,JONAS_0006,JONAS(男),Huh.,,はぁ。,,,8
Adler_ConversationD1-2,JONAS_0007,JONAS(男),I just really don’t get it.,,私は実際にそれを得ることはありません。,,,9
Adler_ConversationD1-2,JONAS_0008,JONAS(男),"Is this-- ahh, the boat keys. Got ‘em.",,this--ああ、ボートキーがあります。 「日を手に入れました。,,,10
Adler_ConversationD1-2,ALEX_0005,ALEX(女),Perfecto.,,パーフェクト。,,,11
Adler_ConversationD1-2,ALEX_0006,ALEX(女),"Let’s blow this pop stand. Oh, I just got that! Popsicle stand! It does make sense.",,のは、このポップアップスタンドを吹いてみましょう。ああ、私はちょうどそれを持って！ポプシクルスタンド！それは意味を成しません。,,,12
Adler_ConversationD1-2,JONAS_0015,JONAS(男),"Alright, we got keys for the boat.",,さてさて、私たちはボートのためのキーを得ました。,,,13
Adler_ConversationD1-2,REN_0001,REN(男),Who's we?,,私たちは誰ですか？,,,14
Adler_ConversationD1-2,JONAS_0016,JONAS(男),"In the attic, in a... dusty old chest... as you might expect.",,屋根裏には、...ほこりっぽい古い胸に...ご想像のとおり。,,,15
Adler_ConversationD1-2,REN_0002,REN(男),"Oh, super! Let’s try it out.",,ああ、スーパー！のは、それを試してみましょう。,,,16
Adler_ConversationD1-2,ALEX_0010,ALEX(女),"Oh and… like a map of the caverns. She’s written here, “tune into the source.”",,洞窟のマップのようなああと...。彼女は「元に曲を。」、ここに書かれています,,,17
Adler_ConversationD1-2,JONAS_0017,JONAS(男),"She couldn’t have known about the ghosts, right?",,彼女は右、幽霊については知られていませんでしたか？,,,18
Adler_ConversationD1-2,JONAS_0018,JONAS(男),Who do you think.,,誰を思い浮かべますか。,,,19
Adler_ConversationD1-2,REN_0003,REN(男),Where?,,どこで？,,,20
Adler_ConversationD1-2,ALEX_0011,ALEX(女),"<i>I</i> got the keys. They were in the attic, upstairs.",,<私>私は</ i>は、キーを得ました。彼らは上の階、屋根裏部屋にありました。,,,21
Adler_ConversationD1-2,JONAS_0019,JONAS(男),"In a chest, but who cares, let’s just go.",,胸には、誰気に、ちょうど行きましょう。,,,22
Adler_ConversationD1-2,ALEX_0012,ALEX(女),Jonas found them in a chest upstairs. So say thank you.,,ジョナスは、胸の上の階でそれらを発見しました。だから、お礼を言います。,,,23
Adler_ConversationD1-2,REN_0004,REN(男),Thank you.,,ありがとうございました。,,,24
Adler_ConversationD1-2,JONAS_0020,JONAS(男),You’re welcome.,,どういたしまして。,,,25
Adler_ConversationD1-2,REN_0005,REN(男),"I was just saying it, it’s not directed at you or anything.",,私はちょうどそれはあなたか何かに向けられていない、それを言っていました。,,,26
Adler_ConversationD1-2,JONAS_0021,JONAS(男),Okay.,,はい。,,,27
Adler_ConversationD3,CLARISSA_0001,CLARISSA,Alex...,,アレックス...,,,1
Adler_ConversationD3,CLARISSA_0002,CLARISSA,"Oh, Alex...",,ああ、アレックス...,,,2
Adler_ConversationD3,CLARISSA_0003,CLARISSA,"Come down here, please.",,ここで降りてくる、してください。,,,3
Adler_ConversationD3,CLARISSA_0004,CLARISSA,We have something we want to show you…,,私たちは、私たちがお見せしたい何かを持っています...,,,4
Adler_ConversationD3,CLARISSA_0005,CLARISSA,[laughing],,[笑い],,,5
Adler_ConversationD3,ALEX_0001,ALEX(女),"Uh, Clarissa? Where are you?",,ええと、クラリッサ？どこにいますか？,,,6
Adler_ConversationD3,CLARISSA_0006,CLARISSA,"In the family room, dear.",,ファミリールームには、親愛なります。,,,7
Adler_ConversationD3,CLARISSA_0007,CLARISSA,"We’re all in oil. Marinated, so to speak.",,我々は、すべてのオイルにしています。マリネは、いわば。,,,8
Adler_ConversationD3,ALEX_0002,ALEX(女),"Clarissa, what’s going on?",,クラリッサは、何が起こっているのですか？,,,9
Adler_ConversationD3,CLARISSA_0008,CLARISSA,"You’re confused, aren’t you? Well, you should be.",,あなたは、混乱していませんね？さて、あなたはする必要があります。,,,10
Adler_ConversationD3,CLARISSA_0009,CLARISSA,How does it go? “Things are different except in a different way.”,,どのようにやるのか？ 「物事は異なる方法で除いて異なっています。」,,,11
Adler_ConversationD3,CLARISSA_0010,CLARISSA,Just come downstairs so we can get started.,,私たちが始めることができるようにちょうど階下に来ます。,,,12
Adler_ConversationD3,ALEX_0003,ALEX(女),"I’m not-- I’m not listening to this, alright? I’m not playing along anymore!",,私はこれを聞いていないよnot--、大丈夫ですよ？私はもう一緒に遊んでいませんよ！,,,13
Adler_ConversationD3,CLARISSA_0011,CLARISSA,"Oh, just come down and we’ll drink to our future.",,ああ、ちょうど降りてくると、私たちは私たちの未来に飲みます。,,,14
Adler_ConversationD3,CLARISSA_0012,CLARISSA,"Come down, okay? It will be alright. I promise.",,大丈夫、降りてきますか？きっと大丈夫。約束します。,,,15
Adler_ConversationD3,CLARISSA_0013,CLARISSA,[laughing],,[笑い],,,16
Adler_ConversationD3,CLARISSA_0015,CLARISSA,Here comes a candle to light you to bed…,,ここでは、ベッドにあなたを照らすろうそくを付属しています...,,,17
Adler_ConversationD3,CLARISSA_0016,CLARISSA,Here comes a sword to chop off your head.,,ここにあなたの頭を切り落とすために剣が来ます。,,,18
Adler_ConversationD3,CLARISSA_0018,CLARISSA,Well... we’ll be waiting right here for you to strike up the nerve...,,うーん...私たちは神経を打つためにあなたのために右ここで待っています...,,,19
Adler_ConversationD3,CLARISSA_0019,CLARISSA,Ah. There you are.,,ああ。それでいいんです,,,20
Adler_ConversationD3,CLARISSA_0020,CLARISSA,"Now, we imagine you’re a bit confused…",,今、私たちは、あなたが少し混乱していると想像します...,,,21
Adler_ConversationD3,CLARISSA_0021,CLARISSA,But don’t fret.,,しかし、心配しないでください。,,,22
