[[FileID]],[[Name]],[[ID]],[[English]],[[Japanese]],[[MTrans]],[[Sequence]]
Choices,Ferry_ConversationB_2255630right,#857196690,How do you know this? ,,どのようにこれを知っていますか？,34
Choices,Ferry_ConversationB_3770383top,#234518503,"Yeah, I remember this, too.",,ええ、私はあまりにも、このことを覚えておいてください。,35
Choices,Ferry_ConversationC_7689242left,#283486767,It's Biblical... right?,,それは右...聖書ですか？,36
Choices,Ferry_ConversationC_7689242right,#473687595,"It means, ""Oppressor..."" ",,それは、「抑圧者を...」という意味します,37
Choices,Ferry_ConversationE_5516560left,#983630804,Of course!,,もちろん！,38
Choices,Ferry_ConversationE_5516560right,#677975855,What radio?,,何のラジオ？,39
Choices,Ferry_ConversationE_1738266top,#195953862,"Oh God, this thing?",,ああ、神様、この事？,40
Choices,Ferry_CnvC_AfterRadioTuned_8648865left,#183817212,Did you guys hear that last part?,,君たちはその最後の部分を聞いていましたか？,41
Choices,Ferry_CnvC_AfterRadioTuned_8648865right,#225293018,Was that… me?,,私はその...でしたか？,42
Choices,AdlerHouse_Script-EngageTapePlayer01_5930531top,#924246518,"Hopefully, this will work...",,うまくいけば、これは動作します...,43
Choices,AdlerHouse_Item_Boat_4158552left,#892309083,"Oh, what’s the point.  ",,ああ、ポイントは何ですか。,44
Choices,AdlerHouse_Item_Boat_4158552right,#352286407,Wanna see if it’ll start? ,,それは始めます場合ワナ参照してください？,45
Choices,AdlerHouse_Item_Boat_5361048left,#325295847,Okay,,はい,46
Choices,AdlerHouse_Item_Boat_5361048right,#683948049,Very funny!,,非常に面白い！,47
Choices,AdlerHouse_Item_Nona_2592742left,#654445911,How's it going?,,調子はどう？,48
Choices,AdlerHouse_Item_Nona_2592742right,#475602942,Wanna maybe help look? ,,ワナ多分見て助けて！,49
Choices,AdlerHouse_Item_Nona_2592742top,#288180818,Thought about Ren?,,レン考えましたか？,50
Choices,AdlerHouse_Item_Nona_6482733top,#769159917,Ren means well!,,レンはよく意味します！,51
Choices,AdlerHouse_Item_Nona_3793827left,#597650591,I understand. ,,わかります。,52
Choices,AdlerHouse_Item_Nona_3793827right,#405320474,"We all feel bad, c’mon. ",,我々は、すべての勘弁してくれよ、悪い感じ。,53
Choices,AdlerHouse_Item_Nona_3125103right,#130170809,Are you interested now?,,あなたは今興味がありますか？,54
Choices,AdlerHouse_Item_Nona_3125103top,#286677219,Sure thing.,,確実なこと。,55
Choices,AdlerHouse_Item_Clarissa_8529510left,#718661740,You need help.,,あなたは助けを必要とします。,56
Choices,AdlerHouse_Item_Clarissa_8529510right,#235182119,Michael wasn't my fault.,,マイケルは私のせいではなかったです。,57
Choices,AdlerHouse_Item_Clarissa_8529510top,#149109960,I don't care what you think.,,私はあなたがどう思うか気にしません。,58
Choices,AdlerHouse_Item_Clarissa_8369362left,#275811353,Therapy.,,治療。,59
Choices,AdlerHouse_Item_Clarissa_8369362right,#296490135,Medical.,,メディカル。,60
Choices,AdlerHouse_Item_Clarissa_8369362top,#549345560,Exorcism.,,悪魔払い。,61
Choices,AdlerHouse_Item_Ren_1451132left,#955462323,It's Nona's birthday.,,それはノナの誕生日です。,62
Choices,AdlerHouse_Item_Ren_1451132right,#302463159,How are you feeling?,,ご気分はいかがですか？,63
Choices,AdlerHouse_Item_Ren_1451132top,#368502287,Think we'll make it out of here?,,私たちはここからそれを作ってあげると思いますか？,64
Choices,AdlerHouse_Item_Ren_9853962left,#336821228,How's the Nona stuff going?,,ノナのものがどのように起こっているの？,65
Choices,AdlerHouse_Item_Ren_9173204left,#795118845,Don't be a predator!,,捕食者にならないでください！,66
Choices,AdlerHouse_Item_Ren_9173204right,#482882794,Just be nice!,,ちょうどいいです！,67
Choices,AdlerHouse_Item_Ren_7637417left,#838430934,Be yourself.,,素直になれ。,68
Choices,AdlerHouse_Item_Ren_7637417right,#702556470,Be interested.,,興味があります。,69
Choices,AdlerHouse_Item_Ren_7637417top,#144142599,Be interesting.,,興味深いこと。,70
Choices,AdlerHouse_Item_Ren_8544962left,#656847314,Don't jinx us!,,私たちのジンクスはいけません！,71
Choices,AdlerHouse_Item_Ren_8544962right,#982514230,"Yeah, you're right.",,うん、あなたは正しいです。,72
Choices,AdlerHouse_Item_Ren_265186left,#156877647,"I'm sorry, okay!",,すみません、大丈夫！,73
Choices,AdlerHouse_Item_Ren_265186right,#260318828,"Let it go, man.",,男、それは行ってみよう。,74
Choices,AdlerHouse_Item_Ren_265186top,#427262702,You were being a goober.,,あなたはgooberされていました。,75
Choices,AdlerHouse_Item_Jonas_5986447left,#483612238,Better than ever!,,今まで一番！,76
Choices,AdlerHouse_Item_Jonas_5986447right,#224099929,As crappy as everyone else.,,他の皆と同じくらい安っぽいです。,77
Choices,AdlerHouse_Item_Jonas_5986447top,#980515789,Think Ren hates me?,,レンが私を嫌っていると思いますか？,78
Choices,AdlerHouse_Item_Jonas_8626886top,#532373199,Are we okay?,,私たちは大丈夫ですか？,79
Choices,AdlerHouse_Item_Jonas_8346538left,#248322717,No.,,いいえ。,80
Choices,AdlerHouse_Item_Jonas_8346538right,#764805835,"Well, maybe a little.",,まあ、少し。,81
Choices,AdlerHouse_Item_AtticDoor_6382488left,#390422824,Wanna come up?,,ワナ出てきますか？,82
Choices,AdlerHouse_Item_AtticDoor_6382488right,#943812386,Attics are spooky.,,屋根裏部屋は不気味です。,83
Choices,AdlerHouse_Item_Typewriter_6104633left,#509748567,Don't call her that.,,その彼女を呼び出さないでください。,84
Choices,AdlerHouse_Item_Typewriter_6104633right,#544864729,She was up to something.,,彼女は何かまででした。,85
Choices,AdlerHouse_Item_Typewriter_6104633top,#368680605,"It's pretty cool, actually.",,それは実際には、かなりクールです。,86
Choices,AdlerHouse_Item_Desk2F_8999773left,#137374741,For fun?,,楽しみのために？,87
Choices,AdlerHouse_Item_Desk2F_8999773right,#428631921,Part of the relay?,,リレーの一部？,88
Choices,AdlerHouse_Item_Desk2F_8999773top,#295650074,An amateur astronomer?,,アマチュア天文学者？,89
Choices,AdlerHouse_Item_Desk2F_400452left,#650135904,That's astrology!,,それは占星術です！,90
Choices,AdlerHouse_Item_Desk2F_400452right,#562686310,"Yeah, sure.",,必ず、うん。,91
Choices,AdlerHouse_Item_EF_Desk2F_465978left,#668287680,Give us a clue!,,私たちの手がかりを与えます！,92
Choices,AdlerHouse_Item_EF_Desk2F_465978right,#829908564,So annoying.,,とても迷惑。,93
Choices,AdlerHouse_Item_Bookshelf_2364660left,#507520642,I'm not talking to you.,,私はあなたに話していませんよ。,94
Choices,AdlerHouse_Item_Bookshelf_2364660right,#729789602,"Why don't you help, then?",,なぜあなたはその後、助けていませんか？,95
Choices,AdlerHouse_Item_BasementDesk_8885298left,#786736310,I don't think so...,,私はそうは思いません...,96
Choices,AdlerHouse_Item_BasementDesk_8885298right,#311165162,Let's just look.,,ちょうど見てみましょう。,97
Choices,AdlerHouse_Item_ChestsAndBoxes_5150460left,#869761522,My guess is paranoid.,,私の推測では、偏執的です。,98
Choices,AdlerHouse_Item_ChestsAndBoxes_5150460right,#565638072,Probably tidy.,,おそらく整頓。,99
Choices,AdlerHouse_Item_NonaD2_5573210left,#603832763,"Nona, get up!",,ノナは、立ち上がります！,100
Choices,AdlerHouse_Item_NonaD2_5573210right,#814440832,Are you okay?,,大丈夫ですか？,101
Choices,AdlerHouse_Item_NonaD2_5573210top,#670172872,Can you hear me?,,私の声が聞こえますか？,102
Choices,AdlerHouse_Item_RenD2_5573210left,#101569681,"Ren, c'mon man!",,レン、召し上がれ男！,103
Choices,AdlerHouse_Item_RenD2_5573210right,#657107472,Are you alright?,,だいじょうぶですか？,104
Choices,AdlerHouse_Item_RenD2_5573210top,#510139371,Are you asleep?,,寝てる？,105
Choices,AdlerHouse_Item_JonasD2_5573210left,#395685081,"I need you, Jonas!",,私は、ジョナスがあなたを必要！,106
Choices,AdlerHouse_Item_JonasD2_5573210right,#330456835,"C'mon, get up!",,勘弁してくれよ、立ち上がって！,107
Choices,AdlerHouse_Item_JonasD2_5573210top,#793115276,We're in a time shift thing!,,私たちは、タイムシフト事にしています！,108
Choices,AdlerHouse_Item_TapePlayerComplete_1626722left,#236037187,Maggie Adler?,,マギー・アドラー？,109
Choices,AdlerHouse_Item_TapePlayerComplete_1626722right,#930586416,She had it solved?,,彼女はそれを解決していましたか？,110
Choices,AdlerHouse_Item_EF_Knot_3206295left,#723322940,"Infinite time, finite matter.",,無限の時間、有限の問題。,111
Choices,AdlerHouse_Item_EF_Knot_3206295right,#164376080,We keep doing the same stuff?,,私たちは、同じものをやり続けますか？,112
Choices,AdlerHouse_Item_EF_Knot_3206295top,#790249805,Nevermind.,,気にしないで。,113
Choices,AdlerHouse_Item_EF_Portrait_3206295left,#633440522,She was a friend of Maggie?,,彼女はマギーの友人でしたか？,114
Choices,AdlerHouse_Item_EF_Portrait_3206295top,#970886112,She died because of the ghosts?,,彼女が理由幽霊で死亡しましたか？,115
Choices,AdlerHouse_ConversationF_8756312left,#535303517,It's EPIPHANY.,,それはひらめきです。,116
Choices,AdlerHouse_ConversationF_8756312right,#119892555,"Doesn't matter, moving on.",,上の移動、重要ではありません。,117
Choices,AdlerHouse_ConversationF_584200left,#322189684,Brilliant.,,ブリリアント。,118
Choices,AdlerHouse_ConversationF_584200right,#133989609,"But the shelter's locked, right?",,しかし、避難所のは右、ロックされましたか？,119
Choices,AdlerHouse_ConversationF_584200top,#387460339,That doesn't help!,,それは助けにはなりません！,120
Choices,AdlerHouse_ConversationF_7014094left,#838208304,Brilliant!,,ブリリアント！,121
Choices,AdlerHouse_ConversationF_7014094right,#433209182,That equipment will work?,,その機器が動作しますか？,122
Choices,AdlerHouse_ConversationF_7014094top,#299675808,"Okay, any OTHER ideas?",,さて、任意の他のアイデア？,123
Choices,AdlerHouse_ConversationF_1187275top,#776451771,"Alright, then.",,さて、その後。,124
Choices,AdlerHouse_ConversationF_2618912left,#950060020,"Wait, what are we doing?",,待って、私たちは何をしていますか？,125
Choices,AdlerHouse_ConversationF_2618912right,#513301773,Let's think this through...,,のは、を介してこれを考えてみましょう...,126
Choices,AdlerHouse_ConversationF_2618912top,#586310713,I've been with Jonas all night...,,私はジョナスと徹夜してきました...,127
Choices,AdlerHouse_ConversationF_2950450left,#772580682,We won't know how to work it.,,私たちは、それを操作する方法を知ることができません。,128
Choices,AdlerHouse_ConversationF_2950450right,#321109275,Where are these stations?,,これらの局はどこにありますか？,129
Choices,AdlerHouse_ConversationF_2950450top,#225940015,Don't we need codes?,,私たちは、コードを必要としないのですか？,130
Choices,AdlerHouse_ConversationF_7151591left,#765834673,"Yeah, we're okay.",,ええ、私たちは大丈夫です。,131
Choices,AdlerHouse_ConversationF_7151591right,#421566994,I've just seen your face so much!,,私はそんなにあなたの顔を見てきました！,132
Choices,AdlerHouse_ConversationF_4291222left,#932008713,I don't care.,,私は気にしないでください。,133
Choices,AdlerHouse_ConversationF_4291222right,#388273248,We got Fort Milner.,,私たちは、フォートミルナーを得ました。,134
Choices,AdlerHouse_ConversationF_4291222top,#695104337,We got the Woods.,,私たちはウッズを得ました。,135
Choices,AdlerHouse_ConversationF_482143left,#539993775,We won't!,,私たちはしません！,136
Choices,AdlerHouse_ConversationF_482143right,#863308722,Same here!,,こっちも一緒！,137
Choices,AdlerHouse_ConversationF_482143top,#250992072,Now I'll be sure to tell you!,,今、私はあなたを教えてくださいよ！,138
Choices,AdlerHouse_ConversationF_6438803left,#412512544,Don't say it if you don't mean it!,,あなたはそれを意味しない場合は、それを言ってはいけません！,139
Choices,AdlerHouse_ConversationF_6438803right,#484230518,"That's nice, Jonas.",,つまり、ジョナスうれしいです。,140
Choices,AdlerHouse_ConversationF_6438803top,#656383141,"Now Ren, say you're sorry.",,今レン、あなたは申し訳ございませんと言います。,141
Choices,AdlerHouse_ConversationE_1342893left,#666903765,The ghosts are taking over.,,幽霊が引き継いでいます。,142
Choices,AdlerHouse_ConversationE_1342893right,#361291285,It was a time loop thing.,,それは時間のループの事でした。,143
Choices,AdlerHouse_ConversationE_1342893top,#739331618,Are you guys alright?,,君たちは大丈夫か？,144
Choices,AdlerHouse_ConversationE_5760568left,#729150922,They want to live again.,,彼らは再び生きたいです。,145
Choices,AdlerHouse_ConversationE_5760568right,#577374065,They're stuck out of time?,,彼らは時間の外に立ち往生していますか？,146
Choices,AdlerHouse_ConversationE_5760568top,#177371555,They're evil bastards.,,彼らは邪悪なできそこないです。,147
Choices,AdlerHouse_CnvE_HadADream_2379367left,#487666935,"Nope, no dream.",,いや、ない夢。,148
Choices,AdlerHouse_CnvE_HadADream_2379367right,#764830936,I wish it was.,,私はそれがいたことを望みます。,149
Choices,AdlerHouse_CnvE_HadADream_5289666left,#994671248,"I'm sorry, I tried!",,ごめんなさい、私が試してみました！,150
Choices,AdlerHouse_CnvE_HadADream_5289666right,#153035529,It was harder than it looked.,,見えたよりも難しいでした。,151
Choices,AdlerHouse_CnvE_HadADream_5289666top,#231713559,"You're fine, stop whining.",,あなたはいいですよ、泣き言を停止します。,152
Choices,AdlerHouse_CnvE_SeriousTrouble_2726081left,#234857490,Well...,,まあ...,153
Choices,AdlerHouse_CnvE_SeriousTrouble_2726081right,#307759446,Yep.,,うん。,154
Choices,AdlerHouse_CnvE_ClarissaInCave_8134388left,#254590883,"Yes, exactly",,はい、正確に,155
Choices,AdlerHouse_CnvE_ClarissaInCave_8134388right,#937306955,Or we could just leave...,,それとも我々だけ残すことができます...,156
Choices,AdlerHouse_CnvE_ClarissaInCave_8134388top,#380234255,We have to fix the problem. ,,我々は問題を解決しなければなりません。,157
Choices,AdlerHouse_CnvE_ClarissaInCave_6013660left,#874363120,I'm kidding!,,冗談です！,158
Choices,AdlerHouse_CnvE_ClarissaInCave_6013660right,#889625466,The boat's right there!,,ボートのすぐそこ！,159
Choices,AdlerHouse_CnvE_ClarissaInCave_6013660top,#366477206,"Okay, fine.",,じゃ、いいよ。,160
Choices,AdlerHouse_CnvE_ClarissaInCave_5614970left,#975103197,Maggie might have had a way.,,マギーは、道を持っていたかもしれません。,161
Choices,AdlerHouse_CnvE_ClarissaInCave_5614970right,#334166566,No clue.,,全く分からない。,162
Choices,AdlerHouse_CnvE_ClarissaInCave_5614970top,#523370660,Use the radio in the cave?,,洞窟の中でラジオを使用しますか？,163
Choices,AdlerHouse_CnvE_ClarissaInCave_599089left,#958199365,Well what's your idea then?,,それではあなたのアイデア何ですか？,164
Choices,AdlerHouse_CnvE_ClarissaInCave_599089right,#188988152,It's all I can think of!,,それは私が考えることができるすべてです！,165
Choices,AdlerHouse_CnvE_MaggiesOldPlan_6776398left,#903747624,We need to tune into the cave.,,私たちは、洞窟にチューニングする必要があります。,166
Choices,AdlerHouse_CnvE_MaggiesOldPlan_6776398right,#221441015,She knew something!,,彼女は何かを知っていました！,167
Choices,AdlerHouse_CnvE_MaggiesOldPlan_6776398top,#995961652,She's involved.,,彼女が関わっです。,168
Choices,AdlerHouse_CnvE_HowToGetToCave_8529745left,#348884856,"How do we get in, then?",,どのように我々は、その後、中得るのですか？,169
Choices,AdlerHouse_CnvE_HowToGetToCave_8529745right,#203152428,She's right.,,彼女は正しいです。,170
Choices,AdlerHouse_CnvE_HowToGetToCave_8529745top,#797324226,There has to be another way.,,別の方法がなければなりません。,171
Choices,AdlerHouse_CnvE_HowToGetToCave_7527099right,#534420813,How do you know?,,どうして知っていますか？,172
Choices,AdlerHouse_CnvE_StartingToRemember_7152878left,#723593329,"I'm sorry, Jonas.",,私は、ジョナスごめんなさい。,173
Choices,AdlerHouse_CnvE_StartingToRemember_7152878right,#140733743,Maybe not!,,そうでないかもしれない！,174
Choices,AdlerHouse_ConversationD7B_8405818left,#163726356,Oh.,,ああ。,175
Choices,AdlerHouse_ConversationD7B_8405818right,#178809940,Guess I'm still stuck...,,私はまだこだわっていると思います...,176
Choices,AdlerHouse_ConversationD7A-ScaryAlex_6146159left,#842918149,"Okay, who are you?",,さて、あなたは誰ですか？,177
Choices,AdlerHouse_ConversationD7A-ScaryAlex_6146159right,#725334683,What does it matter!?,,それは何を問題ではありません！,178
Choices,AdlerHouse_ConversationD7_8405818left,#732912219,That could've gone better...,,それは良く行っていたかもしれません...,179
Choices,AdlerHouse_ConversationD7_8405818right,#164923990,So I’m screwed.,,だから私はねじ込みです。,180
Choices,AdlerHouse_ConversationG_9768520left,#766541554,It’s sweet.,,それは甘い。,181
Choices,AdlerHouse_ConversationG_9768520right,#672067244,Give it a minute!,,それを分を与えます！,182
Choices,AdlerHouse_ConversationG_7151591left,#472341831,Well I'm sorry!,,さて私は、ごめんなさい！,183
Choices,AdlerHouse_ConversationG_1547735left,#141797938,Maybe we have to.,,多分、我々はする必要があります。,184
Choices,AdlerHouse_ConversationG_1547735right,#743321796,Maybe she was wrong. ,,たぶん彼女は間違っていました。,185
Choices,AdlerHouse_ConversationG_1547735top,#726206952,How would she even know this?,,どのように彼女もこのことを知っているだろうか？,186
Choices,AdlerHouse_ConversationG_3628983left,#727737391,"Yeah, strange…",,うん、奇妙な...,187
Choices,AdlerHouse_ConversationG_3628983right,#253420412,Did she ever come here?,,彼女は今までここに来たのか？,188
Choices,AdlerHouse_ConversationG_3628983top,#548617918,The ghosts are screwing with you. ,,幽霊はあなたと一緒にねじ込むされています。,189
Choices,AdlerHouse_ConversationG_4400856top,#216508898,"Wait, we time jumped!",,待って、私たちは時間を跳びました！,190
Choices,AdlerHouse_ConversationD1_3232397left,#583458454,The ghosts?,,幽霊？,191
Choices,AdlerHouse_ConversationD1_3232397right,#235816775,Submarine stuff?,,潜水艦のもの？,192
Choices,AdlerHouse_ConversationD1_3232397top,#232244565,Something about radios...,,ラジオについての何か...,193
Choices,AdlerHouse_ConversationD1_2173148left,#210296114,Great. ,,すばらしいです。,194
Choices,AdlerHouse_ConversationD1_2173148right,#714158143,Let’s get out of here.  ,,ここから出ましょう。,195
Choices,AdlerHouse_ConversationD1_5735555left,#882404109,I got the keys.,,私は鍵を得ました。,196
Choices,AdlerHouse_ConversationD1_5735555right,#452038766,Jonas found them.,,ジョナスはそれらを発見しました。,197
Choices,AdlerHouse_ConversationC_8302515left,#704529544,How'd you get in here?,,どうやっはここで取得しますか？,198
Choices,AdlerHouse_ConversationC_8302515right,#221978908,Where have you been?,,あなたはどこにいた？,199
Choices,AdlerHouse_ConversationC_8302515top,#605412881,"Everyone, keep your distance...",,みんな、あなたの距離を保ちます...,200
Choices,AdlerHouse_ConversationC_34407left,#446860596,I don't believe you.,,私はあなたを信じていません。,201
Choices,AdlerHouse_ConversationC_34407right,#938437676,Sure.,,確かに。,202
Choices,AdlerHouse_ConversationC_6734576left,#345424226,How'd you get past the gate?,,どうやっゲート乗り越えますか？,203
Choices,AdlerHouse_ConversationC_6734576right,#744495504,"Okay, whatever.",,さて、何でも。,204
Choices,AdlerHouse_ConversationC_6917601left,#786076266,You're a psycho.,,あなたは心理です。,205
Choices,AdlerHouse_ConversationC_6917601right,#165522608,You could be a ghost!,,あなたは幽霊かもしれません！,206
Choices,AdlerHouse_ConversationC_6917601top,#878498658,Something's wrong with you.,,何かが間違っています。,207
Choices,AdlerHouse_ConversationC_1536773left,#632114778,"Jonas, back me up!",,ジョナスは、私をバックアップ！,208
Choices,AdlerHouse_ConversationC_1536773right,#676313519,Give me a break!,,私は休憩を与えます！,209
Choices,AdlerHouse_ConversationC_1536773top,#644748202,"Whatever, I don't care.",,何であれ、私は気にしないでください。,210
Choices,AdlerHouse_ConversationC_6819666left,#132980495,"Ren, back me up!",,レンは、私をバックアップ！,211
Choices,AdlerHouse_ConversationC_2293732left,#396339455,"Nona, back me up!",,ノナは、私をバックアップ！,212
Choices,AdlerHouse_ConversationC_8434562left,#724547950,That doesn't matter!,,それは問題ではありません！,213
Choices,AdlerHouse_ConversationC_8434562right,#919559695,We don't know the rules!,,私たちはルールを知りません！,214
Choices,AdlerHouse_ConversationC_6843504left,#416122740,It was more than yelling.,,それは叫んで上回っていました。,215
Choices,AdlerHouse_ConversationC_6843504right,#262994897,"Fine, I don't care.",,ファイン、私は気にしないでください。,216
Choices,AdlerHouse_ConversationB_5474112left,#529928259,Maybe it's in the house.,,多分それは家の中です。,217
Choices,AdlerHouse_ConversationB_5474112right,#388442820,Does anyone know how to drive it?,,誰もがそれを駆動する方法を知っていますか？,218
Choices,AdlerHouse_ConversationB_5474112top,#130146139,A phone inside?,,内部の電話？,219
Choices,AdlerHouse_ConversationA_3598093left,#425738060,How'd she get so rich?,,How'd彼女はとても金持ち？,220
Choices,AdlerHouse_ConversationA_3598093right,#744872812,There's the boat.,,ボートがあります。,221
Choices,AdlerHouse_ConversationA_3598093top,#755741488,There's something up with her.,,彼女と何かアップがあります。,222
Choices,AdlerHouse_ConversationA_8897641left,#833854105,WE could figure it out!,,私たちはそれを把握することができます！,223
Choices,AdlerHouse_ConversationA_8897641right,#984945309,"Yeah, I guess.",,そうかもね。,224
Choices,AdlerHouse_CnvC_LetsDoOurJob_13195left,#687085381,Keep your eye on Clarissa.,,クラリッサも目が離せない。,225
Choices,AdlerHouse_CnvC_LetsDoOurJob_13195right,#911268543,I'm not going with Clarissa.,,私はクラリッサとつもりはありません。,226
Choices,Beach_BeachA_Trigger_LeaveNona_6009594left,#686543414,I can still hear you.,,私はまだあなたを聞くことができます。,227
Choices,Beach_BeachA_Trigger_LeaveNona_6009594right,#508543918,"Sorry, I get antsy.",,申し訳ありませんが、私はイライラを取得します。,228
Choices,Beach_BeachA_Trigger_LeaveNona_3870770top,#498437338,Sorry!,,ごめんなさい！,229
Choices,Beach_BeachA_RadioTuned_1_9796137left,#436088332,How is this possible?,,これはどのように可能ですか？,230
Choices,Beach_BeachA_RadioTuned_1_9796137right,#883936541,What IS it?,,それは何ですか？,231
Choices,Beach_BeachA_RadioTuned_1_9796137top,#707283187,It must be... uh...,,それは...ええと...でなければなりません,232
Choices,Beach_BeachA_RadioTuned_2_4508left,#381906710,She dated my brother.,,彼女は私の弟日付。,233
Choices,Beach_BeachA_RadioTuned_2_4508right,#736169910,Who cares.,,誰も気にしない。,234
Choices,Beach_BeachA_RadioTuned_2_4508top,#479661861,She's a monster.,,彼女はモンスターです。,235
Choices,Beach_BeachA_RadioTuned_2_1036483left,#411575377,She never liked me!,,彼女は私を気に入ったことはありません！,236
Choices,Beach_BeachA_RadioTuned_2_1036483right,#118717148,She should get over it.,,彼女はそれを乗り越える必要があります。,237
Choices,Beach_BeachA_RadioTuned_2_8260334left,#413903065,Yeah.,,うん。,238
Choices,Beach_BeachA_RadioTuned_2_8260334right,#452513718,Kind of.,,やや。,239
Choices,Beach_BeachA_RadioTuned_3_5631028left,#772834607,Satanic.,,悪魔。,240
Choices,Beach_BeachA_RadioTuned_3_5631028right,#707473804,Scary.,,怖いです。,241
Choices,Beach_BeachA_RadioTuned_3_5631028top,#350551004,Painful.,,痛みを伴います。,242
Choices,Beach_BeachA_Item_Nona_2256321left,#704132667,And thanks for the beer.,,そしてビールに感謝。,243
Choices,Beach_BeachA_Item_Nona_2256321right,#126530201,Ren's into you.,,レンはあなたの中にあります。,244
Choices,Beach_BeachA_Item_Nona_2256321top,#909806611,So... about Ren...,,そう...レンについて...,245
Choices,Beach_BeachA_Item_Nona_3010458left,#379305683,I wasn't talking to you.,,私はあなたに話していませんでした。,246
Choices,Beach_BeachA_Item_Nona_3010458right,#794823733,He's a great guy.,,彼は偉大な男です。,247
Choices,Beach_BeachA_Item_Nona_3010458top,#169848378,He's harmless.,,彼は無害です。,248
